word,비교A,비교B
염해지,1,1
연해(smoke damage),1,1
염화비닐,1,1
염산,1,1
열대림 행동계획,1,1
염소주입량,1,1
온실효과(Greenhouse Effect),1,1
오니소각로,1,1
온실가스 배출거래량,1,1
오존 홀,1,1
오니농축,1,1
완속여과,1,1
오존층파괴지수,1,1
오염자부담의 원칙(3P원칙),1,1
온배수,1,1
오존,1,1
영구경수,1,1
오염자 부담 원칙,1,1
오일 펜스,1,1
오존층 파괴(Ozone Depletion ),1,1
오일 셸·오일 샌드,1,1
오니,1,1
오존처리,1,1
옥탄가,1,1
오존층,1,1
오염부하량,1,1
오존 트렌드 위원회,1,1
온산병·온산,1,1
오염경보제,1,1
오염물질,1,1
온배수공해,1,1
영양 염류,1,1
월경산성비,1,1
위생매립,1,1
유기염소제,1,1
원내감염,1,1
우주쓰레기,1,1
유기수은제,1,1
월경공해,1,1
원자력발전소·핵발전소,1,1
원진레이온,1,1
우산효과,1,1
월드워치,1,1
원유,1,1
유기농법,1,1
용존산소(DO),1,1
우유팩 회수,1,1
우레탄 폼,1,1
워싱턴조약,1,1
우주선 지구호,1,1
유기할로겐,1,1
이동경작,1,1
유엔 인간 환경회의,1,1
유전자 자원,1,1
유해 화학물질 오염,1,1
이상기상,1,1
이산화질소(NO2),1,1
유입부하량,1,1
유네스코,1,1
음이온 계면활성제,1,1
음식쓰레기,1,1
윤작,1,1
이동농법,1,1
유기질 비료,1,1
유동층소각로,1,1
유기용제중독,1,1
이온교환 수처리,1,1
유기인,1,1
의료계폐기물,1,1
유화제,1,1
유기주석오염,1,1
이동발생원,1,1
이산화황,1,1
이산화탄소,1,1
음식물 쓰레기 퇴비화 공장,1,1
유엔환경계획,1,1
인스턴트 식품,1,1
인공 방사능,1,1
자연주의자,1,1
자연염,1,1
자연학습·자연학습장,1,1
일산화질소,1,1
인공섬,1,1
자동차 공해,1,1
일산화탄소(CO),1,1
이원급수,1,1
자동차배기가스,1,1
인분뇨,1,1
자연방사능,1,1
임호프 탱크(Imhoff tank),1,1
일회용품,1,1
자연보호,1,1
일산효과,1,1
인분거름,1,1
일조권,1,1
저유황유,1,1
자외선,1,1
저인망 어업,1,1
저주파 공기진동,1,1
잔류농약,1,1
잔디착색제,1,1
전기자동차,1,1
전기 집진기,1,1
재생가능한 자원,1,1
재개발사업,1,1
자원 재활용,1,1
저수조,1,1
적조,1,1
전력,1,1
재난,1,1
재활용,1,1
저독성,1,1
재생지,1,1
전(前)염소처리,1,1
저유황 연료,1,1
저공해 차,1,1
저주파음 공해,1,1
제올라이트,1,1
준설,1,1
제초제,1,1
준공공재,1,1
정부의 환경정보계획,1,1
종 다양성,1,1
조력발전,1,1
전자파,1,1
조경,1,1
전력 피크(최대 전력),1,1
종말 처리장,1,1
제트 여객기,1,1
제로미터 지대,1,1
종이기저귀,1,1
전생애평가·전과정평가,1,1
조류,1,1
중수도,1,1
지구기업,1,1
지표식물,1,1
지구 서미트,1,1
지역 에너지,1,1
지속가능한 개발,1,1
증기기관차,1,1
지구환경 모니터시스템,1,1
지구생물권 국제공동 연구계획,1,1
중금속,1,1
지구온난화 방지조약,1,1
지구온난화 현상,1,1
중독,1,1
지구사막화,1,1
중유,1,1
지속적 경제성장,1,1
지력,1,1
지구환경기금,1,1
지중축열,1,1
지구환경 모니터링 시스템,1,1
지구관측 위성,1,1
중성세제,1,1
지역자급,1,1
지구의 날,1,1
지표종·지표생물,1,1
지역 냉난방,1,1
중성,1,1
지역열공급,1,1
지하수 오염,1,1
차음재료,1,1
집진장치,1,1
철새,1,1
천일염,1,1
철도,1,1
차음벽,1,1
청정기술,1,1
지하수,1,1
청정연료,1,1
진동레벨,1,1
철 박테리아,1,1
지하수 개발,1,1
철(Fe),1,1
집중호우,1,1
천식,1,1
청색증,1,1
질소산화물,1,1
천연가스 자동차,1,1
채식주의자,1,1
천적농약,1,1
진동,1,1
축산폐수,1,1
칼슘,1,1
칼륨,1,1
총수은,1,1
측정망·자동측정망,1,1
클로즈드 시스템,1,1
총질소(Total Nitrogen),1,1
총질소·전(全)질소,1,1
총인(Total Phosphorus),1,1
크롬(Cr),1,1
침사지,1,1
축산단지,1,1
촉매장치,1,1
캡탄,1,1
타르계 색소,1,1
카드뮴(Cd),1,1
클로로포름,1,1
토양 침식,1,1
타벤다졸,1,1
탄광,1,1
테크놀로지 어세스먼트,1,1
태양 흑점,1,1
탄소세,1,1
토양오염물질,1,1
토양 소독,1,1
토양 유출,1,1
토론토 회의,1,1
토양오염,1,1
탁도,1,1
토론토 서미트 경제선언,1,1
탄화수소(HC),1,1
토양의 산성화,1,1
토지의 사막화,1,1
토양개량제,1,1
탄산연,1,1
탈원자력발전,1,1
토양 오염,1,1
테트라클로로에틸렌,1,1
탄산칼슘,1,1
택지 개발,1,1
특정 플론 대책,1,1
특정 폐기물,1,1
트리튬,1,1
통상산업부,1,1
페르메트린,1,1
특수독성,1,1
파라코트,1,1
트리할로메탄,1,1
트리폐닐 주석(TPT) 화합물,1,1
편서풍,1,1
트리클로로에틸렌,1,1
페놀,1,1
톨루엔,1,1
특정대기유해물질,1,1
트롤 어법,1,1
파라티온·메틸 파라티온,1,1
투수성 포장,1,1
퇴비,1,1
팩 식품,1,1
폐유,1,1
폐기물 무역,1,1
폐수,1,1
폐기물 처분,1,1
폐기물 처리,1,1
포스트하비스트,1,1
표백제,1,1
품종개량,1,1
표토,1,1
표준활성오니법,1,1
폭기시간,1,1
폐유볼,1,1
포스겐,1,1
포장폐기물,1,1
풍력발전,1,1
폭기,1,1
폐암,1,1
폐유비누,1,1
폐기물 감량,1,1
폴리염화 비폐닐,1,1
퓸(Fume),1,1
폐쇄수역,1,1
폐알카리,1,1
폐사,1,1
포디즘,1,1
포경,1,1
표면처리,1,1
표토유출,1,1
표백,1,1
할로가스,1,1
한계치사 농도,1,1
한중 환경협력공동위원회,1,1
플랑크톤,1,1
플루토늄,1,1
한일환경협정,1,1
하구언 공사,1,1
플랑크톤 조절,1,1
피폭자,1,1
합성보존제,1,1
플랜테이션,1,1
